job_id	node	method	bs	row	dim
26286443	1	summa	64000	640	256000
26286444	1	megatron	64000	640	256000
26286445	4	summa	64000	640	256000
26286446	4	megatron	64000	640	256000
26286447	16	summa	64000	640	256000
26286448	16	megatron	64000	640	256000
26286449	64	summa	64000	640	256000
26286450	64	megatron	64000	640	256000
